fecha,temperatura_c,humedad_pct,estacion,t_ma3,t_ma7,h_ma3,h_ma7,t_delta,t_pendiente_3d
2026-07-01,25.1,61.1,Cruce-Norte,,,,,,
2026-07-02,24.84,65.5,Cruce-Norte,,,,,-0.26000000000000156,
2026-07-03,25.47,60.1,Cruce-Norte,25.136666666666667,,62.23333333333333,,0.629999999999999,0.18499999999999703
2026-07-04,25.89,57.6,Cruce-Norte,25.400000000000002,,61.06666666666666,,0.4200000000000017,0.524999999999999
2026-07-05,25.15,65.2,Cruce-Norte,25.50333333333333,,60.96666666666667,,-0.740000000000002,-0.15999999999999912
2026-07-06,24.78,67.5,Cruce-Norte,25.27333333333333,,63.43333333333334,,-0.36999999999999744,-0.5550000000000006
2026-07-07,25.81,60.3,Cruce-Norte,25.246666666666666,25.291428571428572,64.33333333333333,62.471428571428575,1.0299999999999976,0.3299999999999975
2026-07-08,26.26,59.0,Cruce-Norte,25.61666666666667,25.45714285714286,62.26666666666667,62.17142857142857,0.45000000000000284,0.7399999999999984
2026-07-09,25.34,63.3,Cruce-Norte,25.80333333333333,25.52857142857143,60.86666666666667,61.857142857142854,-0.9200000000000017,-0.23499999999999982
2026-07-10,24.93,65.9,Cruce-Norte,25.51,25.451428571428572,62.73333333333333,62.68571428571429,-0.41000000000000014,-0.6650000000000038
2026-07-11,26.26,55.4,Cruce-Norte,25.51,25.504285714285714,61.53333333333333,62.37142857142857,1.3300000000000018,0.4600000000000009
2026-07-12,28.54,50.0,Cruce-Norte,26.576666666666668,25.98857142857143,57.1,60.199999999999996,2.2799999999999976,1.805
2026-07-13,30.81,48.4,Cruce-Norte,28.536666666666665,26.85,51.26666666666667,57.471428571428575,2.2699999999999996,2.2749999999999964
2026-07-14,32.99,44.9,Cruce-Norte,30.78,27.875714285714285,47.76666666666666,55.271428571428565,2.1800000000000033,2.225
2026-07-15,35.0,39.6,Cruce-Norte,32.93333333333334,29.124285714285715,44.29999999999999,52.5,2.009999999999998,2.0949999999999953
2026-07-16,36.48,38.1,Cruce-Norte,34.82333333333333,30.715714285714288,40.86666666666667,48.9,1.4799999999999969,1.7449999999999977
2026-07-17,36.64,31.7,Cruce-Norte,36.04,32.38857142857143,36.46666666666666,44.01428571428572,0.1600000000000037,0.8200000000000003
2026-07-18,37.15,28.1,Cruce-Norte,36.75666666666667,33.94428571428571,32.63333333333333,40.114285714285714,0.509999999999998,0.3350000000000011
2026-07-19,35.27,29.3,Cruce-Norte,36.35333333333333,34.90571428571429,29.7,37.15714285714286,-1.8799999999999955,-0.6849999999999988
2026-07-20,37.95,23.7,Cruce-Norte,36.79,35.925714285714285,27.03333333333333,33.628571428571426,2.6799999999999997,0.4000000000000087
2026-07-21,37.38,25.9,Cruce-Norte,36.86666666666667,36.55285714285714,26.3,30.914285714285715,-0.5700000000000003,1.0550000000000015
2026-07-22,36.87,29.5,Cruce-Norte,37.4,36.82,26.366666666666664,29.47142857142857,-0.5100000000000051,-0.5400000000000038
2026-07-23,30.85,58.7,Cruce-Norte,35.03333333333333,36.01571428571429,38.03333333333333,32.41428571428571,-6.019999999999996,-3.2649999999999992
2026-07-24,28.23,69.2,Cruce-Norte,31.983333333333334,34.81428571428572,52.46666666666667,37.771428571428565,-2.620000000000001,-4.3199999999999985
2026-07-25,25.12,77.5,Cruce-Norte,28.066666666666666,33.09571428571429,68.46666666666667,44.82857142857143,-3.1099999999999994,-2.8649999999999975
2026-07-26,22.98,80.4,Cruce-Norte,25.44333333333333,31.34,75.7,52.128571428571426,-2.1400000000000006,-2.6250000000000004
2026-07-27,22.2,73.8,Cruce-Norte,23.433333333333334,29.09,77.23333333333333,59.285714285714285,-0.7800000000000011,-1.4599999999999997
2026-07-28,23.04,71.7,Cruce-Norte,22.74,27.041428571428575,75.3,65.82857142857142,0.8399999999999999,0.030000000000000353
2026-07-29,23.99,67.9,Cruce-Norte,23.076666666666664,25.201428571428572,71.13333333333334,71.31428571428572,0.9499999999999993,0.8949999999999987
2026-07-30,24.51,60.8,Cruce-Norte,23.846666666666664,24.29571428571429,66.80000000000001,71.61428571428571,0.5200000000000031,0.7349999999999982
2026-07-31,26.82,52.4,Cruce-Norte,25.106666666666666,24.094285714285714,60.36666666666667,69.21428571428571,2.3099999999999987,1.4150000000000018
2026-08-01,29.74,44.8,Cruce-Norte,27.023333333333337,24.754285714285714,52.666666666666664,64.54285714285714,2.919999999999998,2.6149999999999967
2026-08-02,32.28,37.8,Cruce-Norte,29.613333333333333,26.08285714285714,45.0,58.457142857142856,2.5400000000000027,2.7299999999999995
2026-08-03,34.5,30.8,Cruce-Norte,32.17333333333334,27.84,37.8,52.31428571428571,2.219999999999999,2.3800000000000017
2026-08-04,36.23,27.9,Cruce-Norte,34.336666666666666,29.724285714285713,32.166666666666664,46.057142857142864,1.7299999999999969,1.9749999999999959
2026-08-05,36.9,24.7,Cruce-Norte,35.876666666666665,31.56857142857143,27.8,39.885714285714286,0.6700000000000017,1.1999999999999955
